order_id,customer_id,order_ts,product_category,price,quantity,status
14ec0cb4-e613-4770-9115-8dbdb45e7c2a,1abb97ad-c2f6-4e7d-9b41-41a03f9873bd,2025-07-19T22:22:55,sports,395.12,4,refunded
71891909-a112-441a-9dc4-4ff71bc9986f,4dc351bb-1f61-4c17-8d4d-1a504d03325b,2025-06-15T01:07:55,books,124.34,1,completed
ac979165-a624-4f91-9f6f-758df6975236,68a4bf0a-1b14-4a5f-98b4-a2de4a7d5732,2025-06-12T16:48:55,sports,146.79,3,completed
123d2f5c-2034-44d7-aa23-2dd209a2dbf3,99956d7b-ec30-4192-bd8a-e023a6364fee,2025-05-04T12:17:55,electronics,265.0,5,cancelled
92a78016-e2cc-4875-a0c3-7c25d95eefd4,c21e383b-35f2-486c-95b0-1d90619d1e76,2025-05-09T10:42:55,toys,299.34,2,refunded
92e8928b-7312-4dd1-a40f-5d6392fd7641,ebd4d662-f49b-4f83-bad2-97e2419e214b,2025-08-19T00:44:55,beauty,91.51,3,completed
3c4b59de-a35d-46db-8fe9-cf20a3596377,0ce87bac-c7d1-48c0-8641-94a2aee76062,2025-08-28T12:26:55,sports,59.03,1,completed
9fc7cc86-9e81-42ac-97dd-6c3bae4533b0,cf09191d-aead-46f4-a10c-c790f99dcb7a,2025-06-25T18:10:55,sports,18.18,2,completed
432823a2-703d-4a4a-9a7a-ff1ad4f2e7ea,4dfe8d03-26d4-4b3e-9af9-e33cc08cf924,2025-05-16T22:13:55,home,134.05,2,refunded
19cc95dc-284d-4dc3-92a3-44f1872addc7,03194258-c837-42a2-a48e-5e2e0456b7e5,2025-05-24T13:50:55,beauty,351.2,5,completed
eca3492e-55b4-4c31-8a3c-3b385ca359de,e16d6387-5893-465c-bd50-b5da37659c77,2025-06-19T03:07:55,books,106.5,3,completed
37a946e5-8310-40ba-b784-4aa1b013c855,3b26117d-9725-440e-b92b-02460eb051bd,2025-07-01T04:18:55,home,189.99,2,completed
2e46c6c8-f128-4274-a60d-6c4fd0c8227e,03194258-c837-42a2-a48e-5e2e0456b7e5,2025-07-11T20:45:55,electronics,322.81,4,cancelled
4608f8b3-a04f-4b24-a95d-3c1959e747fb,ad72a8d5-2004-4ee0-9f23-8cd9b163cb17,2025-05-03T01:14:55,sports,53.82,3,completed
867482f6-92b0-4e42-aeaa-8a9b28b1a63a,216b7cf1-30e1-4940-93be-c01a5e3b46ee,2025-08-14T22:24:55,electronics,257.23,2,completed
0eee16d0-3cc1-451c-a8de-f52eac06ddaf,3817572c-42eb-4bf0-96c6-9ee4348ef7b0,2025-07-25T08:20:55,toys,354.27,5,completed
cc9f12b5-8105-4e23-9810-70d4f2cd5c74,445df1b4-75be-434a-83f9-99c3600af64f,2025-06-09T19:36:55,sports,255.98,3,completed
fc562a0f-82c5-4b4e-aadf-748a41d7a8c8,670b4aac-2763-4652-b974-83447d98fff1,2025-08-26T17:00:55,electronics,60.21,3,completed
3dbd04d2-7918-4964-b9bc-5bd761849f81,7ff02116-c679-46d7-b667-856f3af5294e,2025-07-29T04:44:55,home,97.75,4,completed
65385d77-f60c-4aad-8ec3-b23964bdf758,aec47734-9211-49f6-a7d8-18ef188705ba,2025-07-22T02:25:55,beauty,380.01,4,completed
1c35a476-36c5-489d-a5dc-e5e1f8616af9,4dfe8d03-26d4-4b3e-9af9-e33cc08cf924,2025-08-15T10:33:55,sports,66.04,1,completed
3ee6fa8d-69d3-4e56-96b3-3cfd35c0c4fe,7ba6e40c-56d7-440f-b1d9-ec915da8b479,2025-07-28T14:25:55,electronics,375.93,3,completed
f20794d6-f073-4854-869c-cf8a930e1d18,a8ff4b75-37dc-4b51-9ec2-8d14c2fa4985,2025-06-09T01:41:55,toys,380.47,1,completed
